

Microchip MPLAB XC8 Assembler V2.10 build 88905656 
                                                                                               Thu Mar 19 15:28:53 2020

Microchip MPLAB XC8 C Compiler v2.10 (Free license) build 20190730164152 Og1 
     1                           	processor	16F1708
     2                           	opt	pw 120
     3                           	opt	flic
     4                           	psect	cinit,global,class=CODE,merge=1,delta=2
     5                           	psect	cstackCOMMON,global,class=COMMON,space=1,delta=1
     6                           	psect	maintext,global,class=CODE,merge=1,split=1,delta=2
     7                           	psect	text1,local,class=CODE,merge=1,delta=2
     8                           	psect	text2,local,class=CODE,merge=1,delta=2
     9                           	psect	text3,local,class=CODE,merge=1,delta=2
    10                           	psect	text4,local,class=CODE,merge=1,delta=2
    11                           	dabs	1,0x7E,2
    12  0000                     
    13                           ; Version 2.10
    14                           ; Generated 31/07/2019 GMT
    15                           ; 
    16                           ; Copyright © 2019, Microchip Technology Inc. and its subsidiaries ("Microchip")
    17                           ; All rights reserved.
    18                           ; 
    19                           ; This software is developed by Microchip Technology Inc. and its subsidiaries ("Microch
      +                          ip").
    20                           ; 
    21                           ; Redistribution and use in source and binary forms, with or without modification, are
    22                           ; permitted provided that the following conditions are met:
    23                           ; 
    24                           ;     1. Redistributions of source code must retain the above copyright notice, this lis
      +                          t of
    25                           ;        conditions and the following disclaimer.
    26                           ; 
    27                           ;     2. Redistributions in binary form must reproduce the above copyright notice, this 
      +                          list
    28                           ;        of conditions and the following disclaimer in the documentation and/or other
    29                           ;        materials provided with the distribution.
    30                           ; 
    31                           ;     3. Microchip's name may not be used to endorse or promote products derived from th
      +                          is
    32                           ;        software without specific prior written permission.
    33                           ; 
    34                           ; THIS SOFTWARE IS PROVIDED BY MICROCHIP "AS IS" AND ANY EXPRESS OR IMPLIED WARRANTIES,
    35                           ; INCLUDING, BUT NOT LIMITED TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS F
      +                          OR
    36                           ; PURPOSE ARE DISCLAIMED.  IN NO EVENT SHALL MICROCHIP BE LIABLE FOR ANY DIRECT, INDIREC
      +                          T,
    37                           ; INCIDENTAL, SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING BUT NOT LIMITED TO
    38                           ; PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES; LOSS OF USE, DATA OR PROFITS; OR BUSINESS
    39                           ; INTERRUPTION) HOWSOEVER CAUSED AND ON ANY THEORY OF LIABILITY, WHETHER IN CONTRACT, ST
      +                          RICT
    40                           ; LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR OTHERWISE) ARISING IN ANY WAY OUT OF THE U
      +                          SE OF
    41                           ; THIS SOFTWARE, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.
    42                           ; 
    43                           ; 
    44                           ; Code-generator required, PIC16F1708 Definitions
    45                           ; 
    46                           ; SFR Addresses
    47  0000                     	;# 
   902 ;;		Startup code after reset
   903 ;; This function uses a non-reentrant model
   904 ;;
   905                           
   906                           
   907                           ;psect for function _main
   908  07B5                     _main:	
   909  07B5                     l657:	
   910                           ;incstack = 0
   911                           ; Regs used in _main: [wreg+status,2+status,0+pclath+cstack]
   912                           
   913                           
   914                           ;main.c: 52:     SYSTEM_Initialize();
   915  07B5  3187  27AB  3187   	fcall	_SYSTEM_Initialize
   916  07B8                     l659:	
   917  07B8  1003               	clrc
   918  07B9  0022               	movlb	2	; select bank2
   919  07BA  1C0C               	btfss	12,0	;volatile
   920  07BB  1403               	setc
   921  07BC  1803               	btfsc	3,0
   922  07BD  2FBF               	goto	u11
   923  07BE  2FC2               	goto	u10
   924  07BF                     u11:	
   925  07BF  0022               	movlb	2	; select bank2
   926  07C0  140C               	bsf	12,0	;volatile
   927  07C1  2FC4               	goto	u24
   928  07C2                     u10:	
   929  07C2  0022               	movlb	2	; select bank2
   930  07C3  100C               	bcf	12,0	;volatile
   931  07C4                     u24:	
   932  07C4                     l661:	
   933                           
   934                           ;main.c: 73:         _delay((unsigned long)((1000)*(8000000/4000.0)));
   935  07C4  300B               	movlw	11
   936  07C5  00F1               	movwf	??_main+1
   937  07C6  3026               	movlw	38
   938  07C7  00F0               	movwf	??_main
   939  07C8  305E               	movlw	94
   940  07C9                     u37:	
   941  07C9  0B89               	decfsz	9,f
   942  07CA  2FC9               	goto	u37
   943  07CB  0BF0               	decfsz	??_main,f
   944  07CC  2FC9               	goto	u37
   945  07CD  0BF1               	decfsz	??_main+1,f
   946  07CE  2FC9               	goto	u37
   947  07CF  2FB8               	goto	l659
   948  07D0  3180  2802         	ljmp	start
   949  07D2                     __end_of_main:	
   950                           
   951                           	psect	text1
   952  07AB                     __ptext1:	
   953 ;; *************** function _SYSTEM_Initialize *****************
   954 ;; Defined at:
   955 ;;		line 50 in file "mcc_generated_files/mcc.c"
   956 ;; Parameters:    Size  Location     Type
   957 ;;		None
   958 ;; Auto vars:     Size  Location     Type
   959 ;;		None
   960 ;; Return value:  Size  Location     Type
   961 ;;                  1    wreg      void 
   962 ;; Registers used:
   963 ;;		wreg, status,2, status,0, pclath, cstack
   964 ;; Tracked objects:
   965 ;;		On entry : 0/0
   966 ;;		On exit  : 0/0
   967 ;;		Unchanged: 0/0
   968 ;; Data sizes:     COMMON   BANK0   BANK1   BANK2   BANK3   BANK4   BANK5   BANK6
   969 ;;      Params:         0       0       0       0       0       0       0       0
   970 ;;      Locals:         0       0       0       0       0       0       0       0
   971 ;;      Temps:          0       0       0       0       0       0       0       0
   972 ;;      Totals:         0       0       0       0       0       0       0       0
   973 ;;Total ram usage:        0 bytes
   974 ;; Hardware stack levels used:    1
   975 ;; Hardware stack levels required when called:    1
   976 ;; This function calls:
   977 ;;		_OSCILLATOR_Initialize
   978 ;;		_PIN_MANAGER_Initialize
   979 ;;		_WDT_Initialize
   980 ;; This function is called by:
   981 ;;		_main
   982 ;; This function uses a non-reentrant model
   983 ;;
   984                           
   985                           
   986                           ;psect for function _SYSTEM_Initialize
   987  07AB                     _SYSTEM_Initialize:	
   988  07AB                     l655:	
   989                           ;incstack = 0
   990                           ; Regs used in _SYSTEM_Initialize: [wreg+status,2+status,0+pclath+cstack]
   991                           
   992                           
   993                           ;mcc_generated_files/mcc.c: 53:     PIN_MANAGER_Initialize();
   994  07AB  3187  27D2  3187   	fcall	_PIN_MANAGER_Initialize
   995                           
   996                           ;mcc_generated_files/mcc.c: 54:     OSCILLATOR_Initialize();
   997  07AE  3187  27A3  3187   	fcall	_OSCILLATOR_Initialize
   998                           
   999                           ;mcc_generated_files/mcc.c: 55:     WDT_Initialize();
  1000  07B1  3187  279F  3187   	fcall	_WDT_Initialize
  1001  07B4                     l35:	
  1002  07B4  0008               	return
  1003  07B5                     __end_of_SYSTEM_Initialize:	
  1004                           
  1005                           	psect	text2
  1006  079F                     __ptext2:	
  1007 ;; *************** function _WDT_Initialize *****************
  1008 ;; Defined at:
  1009 ;;		line 70 in file "mcc_generated_files/mcc.c"
  1010 ;; Parameters:    Size  Location     Type
  1011 ;;		None
  1012 ;; Auto vars:     Size  Location     Type
  1013 ;;		None
  1014 ;; Return value:  Size  Location     Type
  1015 ;;                  1    wreg      void 
  1016 ;; Registers used:
  1017 ;;		wreg
  1018 ;; Tracked objects:
  1019 ;;		On entry : 0/0
  1020 ;;		On exit  : 0/0
  1021 ;;		Unchanged: 0/0
  1022 ;; Data sizes:     COMMON   BANK0   BANK1   BANK2   BANK3   BANK4   BANK5   BANK6
  1023 ;;      Params:         0       0       0       0       0       0       0       0
  1024 ;;      Locals:         0       0       0       0       0       0       0       0
  1025 ;;      Temps:          0       0       0       0       0       0       0       0
  1026 ;;      Totals:         0       0       0       0       0       0       0       0
  1027 ;;Total ram usage:        0 bytes
  1028 ;; Hardware stack levels used:    1
  1029 ;; This function calls:
  1030 ;;		Nothing
  1031 ;; This function is called by:
  1032 ;;		_SYSTEM_Initialize
  1033 ;; This function uses a non-reentrant model
  1034 ;;
  1035                           
  1036                           
  1037                           ;psect for function _WDT_Initialize
  1038  079F                     _WDT_Initialize:	
  1039  079F                     l653:	
  1040                           ;incstack = 0
  1041                           ; Regs used in _WDT_Initialize: [wreg]
  1042                           
  1043                           
  1044                           ;mcc_generated_files/mcc.c: 73:     WDTCON = 0x16;
  1045  079F  3016               	movlw	22
  1046  07A0  0021               	movlb	1	; select bank1
  1047  07A1  0097               	movwf	23	;volatile
  1048  07A2                     l41:	
  1049  07A2  0008               	return
  1050  07A3                     __end_of_WDT_Initialize:	
  1051                           
  1052                           	psect	text3
  1053  07D2                     __ptext3:	
  1054 ;; *************** function _PIN_MANAGER_Initialize *****************
  1055 ;; Defined at:
  1056 ;;		line 55 in file "mcc_generated_files/pin_manager.c"
  1057 ;; Parameters:    Size  Location     Type
  1058 ;;		None
  1059 ;; Auto vars:     Size  Location     Type
  1060 ;;		None
  1061 ;; Return value:  Size  Location     Type
  1062 ;;                  1    wreg      void 
  1063 ;; Registers used:
  1064 ;;		wreg, status,2
  1065 ;; Tracked objects:
  1066 ;;		On entry : 0/0
  1067 ;;		On exit  : 0/0
  1068 ;;		Unchanged: 0/0
  1069 ;; Data sizes:     COMMON   BANK0   BANK1   BANK2   BANK3   BANK4   BANK5   BANK6
  1070 ;;      Params:         0       0       0       0       0       0       0       0
  1071 ;;      Locals:         0       0       0       0       0       0       0       0
  1072 ;;      Temps:          0       0       0       0       0       0       0       0
  1073 ;;      Totals:         0       0       0       0       0       0       0       0
  1074 ;;Total ram usage:        0 bytes
  1075 ;; Hardware stack levels used:    1
  1076 ;; This function calls:
  1077 ;;		Nothing
  1078 ;; This function is called by:
  1079 ;;		_SYSTEM_Initialize
  1080 ;; This function uses a non-reentrant model
  1081 ;;
  1082                           
  1083                           
  1084                           ;psect for function _PIN_MANAGER_Initialize
  1085  07D2                     _PIN_MANAGER_Initialize:	
  1086  07D2                     l617:	
  1087                           ;incstack = 0
  1088                           ; Regs used in _PIN_MANAGER_Initialize: [wreg+status,2]
  1089                           
  1090                           
  1091                           ;mcc_generated_files/pin_manager.c: 60:     LATA = 0x00;
  1092  07D2  0022               	movlb	2	; select bank2
  1093  07D3  018C               	clrf	12	;volatile
  1094                           
  1095                           ;mcc_generated_files/pin_manager.c: 61:     LATB = 0x00;
  1096  07D4  018D               	clrf	13	;volatile
  1097                           
  1098                           ;mcc_generated_files/pin_manager.c: 62:     LATC = 0x00;
  1099  07D5  018E               	clrf	14	;volatile
  1100  07D6                     l619:	
  1101                           
  1102                           ;mcc_generated_files/pin_manager.c: 67:     TRISA = 0x36;
  1103  07D6  3036               	movlw	54
  1104  07D7  0021               	movlb	1	; select bank1
  1105  07D8  008C               	movwf	12	;volatile
  1106  07D9                     l621:	
  1107                           
  1108                           ;mcc_generated_files/pin_manager.c: 68:     TRISB = 0xF0;
  1109  07D9  30F0               	movlw	240
  1110  07DA  008D               	movwf	13	;volatile
  1111  07DB                     l623:	
  1112                           
  1113                           ;mcc_generated_files/pin_manager.c: 69:     TRISC = 0xFF;
  1114  07DB  30FF               	movlw	255
  1115  07DC  008E               	movwf	14	;volatile
  1116  07DD                     l625:	
  1117                           
  1118                           ;mcc_generated_files/pin_manager.c: 74:     ANSELC = 0xCF;
  1119  07DD  30CF               	movlw	207
  1120  07DE  0023               	movlb	3	; select bank3
  1121  07DF  008E               	movwf	14	;volatile
  1122  07E0                     l627:	
  1123                           
  1124                           ;mcc_generated_files/pin_manager.c: 75:     ANSELB = 0x30;
  1125  07E0  3030               	movlw	48
  1126  07E1  008D               	movwf	13	;volatile
  1127  07E2                     l629:	
  1128                           
  1129                           ;mcc_generated_files/pin_manager.c: 76:     ANSELA = 0x16;
  1130  07E2  3016               	movlw	22
  1131  07E3  008C               	movwf	12	;volatile
  1132                           
  1133                           ;mcc_generated_files/pin_manager.c: 81:     WPUB = 0x00;
  1134  07E4  0024               	movlb	4	; select bank4
  1135  07E5  018D               	clrf	13	;volatile
  1136                           
  1137                           ;mcc_generated_files/pin_manager.c: 82:     WPUA = 0x00;
  1138  07E6  018C               	clrf	12	;volatile
  1139                           
  1140                           ;mcc_generated_files/pin_manager.c: 83:     WPUC = 0x00;
  1141  07E7  018E               	clrf	14	;volatile
  1142  07E8                     l631:	
  1143                           
  1144                           ;mcc_generated_files/pin_manager.c: 84:     OPTION_REGbits.nWPUEN = 1;
  1145  07E8  0021               	movlb	1	; select bank1
  1146  07E9  1795               	bsf	21,7	;volatile
  1147                           
  1148                           ;mcc_generated_files/pin_manager.c: 89:     ODCONA = 0x00;
  1149  07EA  0025               	movlb	5	; select bank5
  1150  07EB  018C               	clrf	12	;volatile
  1151                           
  1152                           ;mcc_generated_files/pin_manager.c: 90:     ODCONB = 0x00;
  1153  07EC  018D               	clrf	13	;volatile
  1154                           
  1155                           ;mcc_generated_files/pin_manager.c: 91:     ODCONC = 0x00;
  1156  07ED  018E               	clrf	14	;volatile
  1157  07EE                     l633:	
  1158                           
  1159                           ;mcc_generated_files/pin_manager.c: 96:     SLRCONA = 0x37;
  1160  07EE  3037               	movlw	55
  1161  07EF  0026               	movlb	6	; select bank6
  1162  07F0  008C               	movwf	12	;volatile
  1163  07F1                     l635:	
  1164                           
  1165                           ;mcc_generated_files/pin_manager.c: 97:     SLRCONB = 0xF0;
  1166  07F1  30F0               	movlw	240
  1167  07F2  008D               	movwf	13	;volatile
  1168  07F3                     l637:	
  1169                           
  1170                           ;mcc_generated_files/pin_manager.c: 98:     SLRCONC = 0xFF;
  1171  07F3  30FF               	movlw	255
  1172  07F4  008E               	movwf	14	;volatile
  1173  07F5                     l639:	
  1174                           
  1175                           ;mcc_generated_files/pin_manager.c: 103:     INLVLA = 0x3F;
  1176  07F5  303F               	movlw	63
  1177  07F6  0027               	movlb	7	; select bank7
  1178  07F7  008C               	movwf	12	;volatile
  1179  07F8                     l641:	
  1180                           
  1181                           ;mcc_generated_files/pin_manager.c: 104:     INLVLB = 0xF0;
  1182  07F8  30F0               	movlw	240
  1183  07F9  008D               	movwf	13	;volatile
  1184  07FA                     l643:	
  1185                           
  1186                           ;mcc_generated_files/pin_manager.c: 105:     INLVLC = 0xFF;
  1187  07FA  30FF               	movlw	255
  1188  07FB  008E               	movwf	14	;volatile
  1189  07FC                     l88:	
  1190  07FC  0008               	return
  1191  07FD                     __end_of_PIN_MANAGER_Initialize:	
  1192                           
  1193                           	psect	text4
  1194  07A3                     __ptext4:	
  1195 ;; *************** function _OSCILLATOR_Initialize *****************
  1196 ;; Defined at:
  1197 ;;		line 58 in file "mcc_generated_files/mcc.c"
  1198 ;; Parameters:    Size  Location     Type
  1199 ;;		None
  1200 ;; Auto vars:     Size  Location     Type
  1201 ;;		None
  1202 ;; Return value:  Size  Location     Type
  1203 ;;                  1    wreg      void 
  1204 ;; Registers used:
  1205 ;;		wreg, status,2
  1206 ;; Tracked objects:
  1207 ;;		On entry : 0/0
  1208 ;;		On exit  : 0/0
  1209 ;;		Unchanged: 0/0
  1210 ;; Data sizes:     COMMON   BANK0   BANK1   BANK2   BANK3   BANK4   BANK5   BANK6
  1211 ;;      Params:         0       0       0       0       0       0       0       0
  1212 ;;      Locals:         0       0       0       0       0       0       0       0
  1213 ;;      Temps:          0       0       0       0       0       0       0       0
  1214 ;;      Totals:         0       0       0       0       0       0       0       0
  1215 ;;Total ram usage:        0 bytes
  1216 ;; Hardware stack levels used:    1
  1217 ;; This function calls:
  1218 ;;		Nothing
  1219 ;; This function is called by:
  1220 ;;		_SYSTEM_Initialize
  1221 ;; This function uses a non-reentrant model
  1222 ;;
  1223                           
  1224                           
  1225                           ;psect for function _OSCILLATOR_Initialize
  1226  07A3                     _OSCILLATOR_Initialize:	
  1227  07A3                     l645:	
  1228                           ;incstack = 0
  1229                           ; Regs used in _OSCILLATOR_Initialize: [wreg+status,2]
  1230                           
  1231                           
  1232                           ;mcc_generated_files/mcc.c: 61:     OSCCON = 0x70;
  1233  07A3  3070               	movlw	112
  1234  07A4  0021               	movlb	1	; select bank1
  1235  07A5  0099               	movwf	25	;volatile
  1236  07A6                     l647:	
  1237                           
  1238                           ;mcc_generated_files/mcc.c: 63:     OSCSTAT = 0x00;
  1239  07A6  019A               	clrf	26	;volatile
  1240  07A7                     l649:	
  1241                           
  1242                           ;mcc_generated_files/mcc.c: 65:     OSCTUNE = 0x00;
  1243  07A7  0198               	clrf	24	;volatile
  1244  07A8                     l651:	
  1245                           
  1246                           ;mcc_generated_files/mcc.c: 67:     BORCON = 0x00;
  1247  07A8  0022               	movlb	2	; select bank2
  1248  07A9  0196               	clrf	22	;volatile
  1249  07AA                     l38:	
  1250  07AA  0008               	return
  1251  07AB                     __end_of_OSCILLATOR_Initialize:	
  1252  007E                     btemp	set	126	;btemp
  1253  007E                     wtemp0	set	126


Data Sizes:
    Strings     0
    Constant    0
    Data        0
    BSS         0
    Persistent  32
    Stack       0

Auto Spaces:
    Space          Size  Autos    Used
    COMMON           14      2       2
    BANK0            80      0       0
    BANK1            80      0       0
    BANK2            80      0       0
    BANK3            80      0       0
    BANK4            80      0       0
    BANK5            80      0       0
    BANK6            16      0       0

Pointer List with Targets:

    None.

Critical Paths under _main in COMMON

    None.

Critical Paths under _main in BANK0

    None.

Critical Paths under _main in BANK1

    None.

Critical Paths under _main in BANK2

    None.

Critical Paths under _main in BANK3

    None.

Critical Paths under _main in BANK4

    None.

Critical Paths under _main in BANK5

    None.

Critical Paths under _main in BANK6

    None.

Call Graph Tables:

 ---------------------------------------------------------------------------------
 (Depth) Function   	        Calls       Base Space   Used Autos Params    Refs
 ---------------------------------------------------------------------------------
 (0) _main                                                 2     2      0       0
                                              0 COMMON     2     2      0
                  _SYSTEM_Initialize
 ---------------------------------------------------------------------------------
 (1) _SYSTEM_Initialize                                    0     0      0       0
              _OSCILLATOR_Initialize
             _PIN_MANAGER_Initialize
                     _WDT_Initialize
 ---------------------------------------------------------------------------------
 (2) _WDT_Initialize                                       0     0      0       0
 ---------------------------------------------------------------------------------
 (2) _PIN_MANAGER_Initialize                               0     0      0       0
 ---------------------------------------------------------------------------------
 (2) _OSCILLATOR_Initialize                                0     0      0       0
 ---------------------------------------------------------------------------------
 Estimated maximum stack depth 2
 ---------------------------------------------------------------------------------

 Call Graph Graphs:

 _main (ROOT)
   _SYSTEM_Initialize
     _OSCILLATOR_Initialize
     _PIN_MANAGER_Initialize
     _WDT_Initialize

 Address spaces:
Name               Size   Autos  Total    Cost      Usage
BIGRAM             1F0      0       0       0        0.0%
NULL                 0      0       0       0        0.0%
CODE                 0      0       0       0        0.0%
BITCOMMON            E      0       0       1        0.0%
BITSFR0              0      0       0       1        0.0%
SFR0                 0      0       0       1        0.0%
COMMON               E      2       2       2       14.3%
BITSFR1              0      0       0       2        0.0%
SFR1                 0      0       0       2        0.0%
BITSFR2              0      0       0       3        0.0%
SFR2                 0      0       0       3        0.0%
STACK                0      0       0       3        0.0%
BITSFR3              0      0       0       4        0.0%
SFR3                 0      0       0       4        0.0%
ABS                  0      0       0       4        0.0%
BITBANK0            50      0       0       5        0.0%
BITSFR4              0      0       0       5        0.0%
SFR4                 0      0       0       5        0.0%
BANK0               50      0       0       6        0.0%
BITSFR5              0      0       0       6        0.0%
SFR5                 0      0       0       6        0.0%
BITBANK1            50      0       0       7        0.0%
BITSFR6              0      0       0       7        0.0%
SFR6                 0      0       0       7        0.0%
BANK1               50      0       0       8        0.0%
BITSFR7              0      0       0       8        0.0%
SFR7                 0      0       0       8        0.0%
BITBANK2            50      0       0       9        0.0%
BITSFR8              0      0       0       9        0.0%
SFR8                 0      0       0       9        0.0%
BANK2               50      0       0      10        0.0%
BITSFR9              0      0       0      10        0.0%
SFR9                 0      0       0      10        0.0%
BITBANK3            50      0       0      11        0.0%
BITSFR10             0      0       0      11        0.0%
SFR10                0      0       0      11        0.0%
BANK3               50      0       0      12        0.0%
BITSFR11             0      0       0      12        0.0%
SFR11                0      0       0      12        0.0%
BITBANK4            50      0       0      13        0.0%
BITSFR12             0      0       0      13        0.0%
SFR12                0      0       0      13        0.0%
BANK4               50      0       0      14        0.0%
BITSFR13             0      0       0      14        0.0%
SFR13                0      0       0      14        0.0%
BITBANK5            50      0       0      15        0.0%
BITSFR14             0      0       0      15        0.0%
SFR14                0      0       0      15        0.0%
BANK5               50      0       0      16        0.0%
BITSFR15             0      0       0      16        0.0%
SFR15                0      0       0      16        0.0%
BITBANK6            10      0       0      17        0.0%
BITSFR16             0      0       0      17        0.0%
SFR16                0      0       0      17        0.0%
BANK6               10      0       0      18        0.0%
BITSFR17             0      0       0      18        0.0%
SFR17                0      0       0      18        0.0%
BITSFR18             0      0       0      19        0.0%
SFR18                0      0       0      19        0.0%
DATA                 0      0       0      19        0.0%
BITSFR19             0      0       0      20        0.0%
SFR19                0      0       0      20        0.0%
BITSFR20             0      0       0      21        0.0%
SFR20                0      0       0      21        0.0%
BITSFR21             0      0       0      22        0.0%
SFR21                0      0       0      22        0.0%
BITSFR22             0      0       0      23        0.0%
SFR22                0      0       0      23        0.0%
BITSFR23             0      0       0      24        0.0%
SFR23                0      0       0      24        0.0%
BITSFR24             0      0       0      25        0.0%
SFR24                0      0       0      25        0.0%
BITSFR25             0      0       0      26        0.0%
SFR25                0      0       0      26        0.0%
BITSFR26             0      0       0      27        0.0%
SFR26                0      0       0      27        0.0%
BITSFR27             0      0       0      28        0.0%
SFR27                0      0       0      28        0.0%
BITSFR28             0      0       0      29        0.0%
SFR28                0      0       0      29        0.0%
BITSFR29             0      0       0      30        0.0%
SFR29                0      0       0      30        0.0%
BITSFR30             0      0       0      31        0.0%
SFR30                0      0       0      31        0.0%
BITSFR31             0      0       0      32        0.0%
SFR31                0      0       0      32        0.0%


Microchip Technology PIC Macro Assembler V2.10 build 88905656 
Symbol Table                                                                                   Thu Mar 19 15:28:53 2020

                    __CFG_CP$OFF 0000                               l41 07A2                               l35 07B4  
                             l38 07AA                               l88 07FC                               u10 07C2  
                             u11 07BF                               u24 07C4                               u37 07C9  
                    __CFG_LVP$ON 0000                              l621 07D9                              l631 07E8  
                            l623 07DB                              l641 07F8                              l633 07EE  
                            l625 07DD                              l617 07D2                              l651 07A8  
                            l643 07FA                              l635 07F1                              l627 07E0  
                            l619 07D6                              l645 07A3                              l637 07F3  
                            l629 07E2                              l653 079F                              l661 07C4  
                            l647 07A6                              l639 07F5                              l655 07AB  
                            l649 07A7                              l657 07B5                              l659 07B8  
                   __CFG_BORV$LO 0000                              wreg 0009                     __CFG_IESO$ON 0000  
                           _LATA 010C                             _LATB 010D                             _LATC 010E  
                           _WPUA 020C                             _WPUB 020D                             _WPUC 020E  
                   __CFG_WRT$OFF 0000                    __CFG_FCMEN$ON 0000                             _main 07B5  
                           btemp 007E                    __CFG_BOREN$ON 0000                             start 0002  
                  __CFG_MCLRE$ON 0000   __size_of_OSCILLATOR_Initialize 0008    __end_of_OSCILLATOR_Initialize 07AB  
                          ?_main 0070                    __CFG_WDTE$OFF 0000                            _TRISA 008C  
                          _TRISB 008D                            _TRISC 008E                   _WDT_Initialize 079F  
                          status 0003                            wtemp0 007E                  __initialization 07FD  
                   __end_of_main 07D2                   __CFG_LPBOR$OFF 0000                           ??_main 0070  
                 __CFG_PLLEN$OFF 0000           __end_of_WDT_Initialize 07A3                   __CFG_ZCDDIS$ON 0000  
                         _ANSELA 018C                           _ANSELB 018D                           _ANSELC 018E  
                         _BORCON 0116                           _ODCONA 028C                           _ODCONB 028D  
                         _ODCONC 028E                           _INLVLA 038C                           _INLVLB 038D  
                         _INLVLC 038E                           _OSCCON 0099                           _WDTCON 0097  
                 __CFG_PWRTE$OFF 0000                   __CFG_STVREN$ON 0000                  ?_WDT_Initialize 0070  
              _SYSTEM_Initialize 07AB          __end_of__initialization 07FD               ?_SYSTEM_Initialize 0070  
                 __pcstackCOMMON 0070              ??_SYSTEM_Initialize 0070                   _OPTION_REGbits 0095  
      __end_of_SYSTEM_Initialize 07B5                       __pmaintext 07B5                  __CFG_PPS1WAY$ON 0000  
                        _OSCSTAT 009A                          _OSCTUNE 0098                          _SLRCONA 030C  
                        _SLRCONB 030D                          _SLRCONC 030E                          __ptext1 07AB  
                        __ptext2 079F                          __ptext3 07D2                          __ptext4 07A3  
          _OSCILLATOR_Initialize 07A3         ??_PIN_MANAGER_Initialize 0070       __size_of_SYSTEM_Initialize 000A  
           end_of_initialization 07FD                 ??_WDT_Initialize 0070                 __CFG_FOSC$INTOSC 0000  
         ?_OSCILLATOR_Initialize 0070              start_initialization 07FD  __size_of_PIN_MANAGER_Initialize 002B  
                      ___latbits 0001           _PIN_MANAGER_Initialize 07D2                         _LATAbits 010C  
        ??_OSCILLATOR_Initialize 0070                    __size_of_main 001D          __size_of_WDT_Initialize 0004  
        ?_PIN_MANAGER_Initialize 0070                __CFG_CLKOUTEN$OFF 0000   __end_of_PIN_MANAGER_Initialize 07FD  
